unix,date,symbol,open,high,low,close,volume,tradecount
1626310000000,2021-07-15 00:00:00,BTC/USDT,32803,33170,31140,31866.43,17249306210,4036910
1626220000000,2021-07-14 00:00:00,BTC/USDT,32708.66,33176.47,31556.02,32803.01,16871855472,4012431
1626130000000,2021-07-13 00:00:00,BTC/USDT,33070.86,33336,32186.99,32709.09,15294563607,3656943
1626050000000,2021-07-12 00:00:00,BTC/USDT,34253.88,34662.73,32650,33070.87,16891641370,4018132
1625960000000,2021-07-11 00:00:00,BTC/USDT,33497.98,34629.62,33306.03,34253.81,11640701256,3000523
1625880000000,2021-07-10 00:00:00,BTC/USDT,33805.01,34248.58,33010,33497.98,13822726227,3501607
1625790000000,2021-07-09 00:00:00,BTC/USDT,32855,34100,32250,33805.01,16088319381,4150223
1625700000000,2021-07-08 00:00:00,BTC/USDT,33845.63,33910,32066,32852.04,21360817083,5260499
1625620000000,2021-07-07 00:00:00,BTC/USDT,34206,35089.56,33756.48,33845.64,15756590092,4023843
1625530000000,2021-07-06 00:00:00,BTC/USDT,33672.72,35120,33500,34206.01,22007603921,5169120
1625440000000,2021-07-05 00:00:00,BTC/USDT,35280.17,35281.55,33032,33672.72,25080538854,5192876
1625360000000,2021-07-04 00:00:00,BTC/USDT,34653.32,35955.55,34340.75,35280.16,15913944818,3486378
1625270000000,2021-07-03 00:00:00,BTC/USDT,33760.94,34948.16,33296.98,34652.94,17523073398,3994573
1625180000000,2021-07-02 00:00:00,BTC/USDT,33489.96,33960,32684,33760.94,22117194904,5408686
1625100000000,2021-07-01 00:00:00,BTC/USDT,35031.39,35044.98,32672.04,33489.96,25510026886,5725261
1625010000000,2021-06-30 00:00:00,BTC/USDT,35910.64,36089.96,34042.74,35031.39,25089717254,5747819
1624920000000,2021-06-29 00:00:00,BTC/USDT,34486.58,36623,34206,35911.26,28651151982,6564763
1624840000000,2021-06-28 00:00:00,BTC/USDT,34687.71,35279.38,33855,34487.22,24347802822,6016466
1624750000000,2021-06-27 00:00:00,BTC/USDT,32250.15,34762,31960,34687.71,29675701648,7266511
1624670000000,2021-06-26 00:00:00,BTC/USDT,31569.18,32720.52,30120,32255.56,34169368151,8830795
1624580000000,2021-06-25 00:00:00,BTC/USDT,34644.65,35500,31250,31568.07,36220815800,8575198
1624490000000,2021-06-24 00:00:00,BTC/USDT,33650,35406.74,32300,34644.64,26142284529,6393985
1624410000000,2021-06-23 00:00:00,BTC/USDT,32496,34867.77,31711.5,33649,32385728391,8005763
1624320000000,2021-06-22 00:00:00,BTC/USDT,31606,33274,28780.01,32496,48118035156,12592839
1624230000000,2021-06-21 00:00:00,BTC/USDT,35588.63,35746.28,31250.51,31606,45999742163,11529993
1624150000000,2021-06-20 00:00:00,BTC/USDT,35483.01,36155,33312,35588.64,28839255735,6811270
1624060000000,2021-06-19 00:00:00,BTC/USDT,35811.41,36471.8,34704.08,35483,22933053074,5504522
1623970000000,2021-06-18 00:00:00,BTC/USDT,38060.71,38198,35100,35811.41,29108720481,6722621
1623890000000,2021-06-17 00:00:00,BTC/USDT,38344.97,39565,37334.76,38060.71,23274089670,5362882
1623800000000,2021-06-16 00:00:00,BTC/USDT,40132.86,40495,38105,38344.97,26431149487,6317711
1623720000000,2021-06-15 00:00:00,BTC/USDT,40489.1,41413,39500,40132.86,25426404029,5854306
1623630000000,2021-06-14 00:00:00,BTC/USDT,38993.66,41000,38720,40489.1,28043323954,6811137
1623540000000,2021-06-13 00:00:00,BTC/USDT,35535.95,39374.18,34739.06,38993.65,23729185500,6085040
1623460000000,2021-06-12 00:00:00,BTC/USDT,37300.41,37432.95,34585.9,35537.05,22229082761,5782385
1623370000000,2021-06-11 00:00:00,BTC/USDT,36669.65,37679.54,35900,37300.42,21668792471,5557717
1623280000000,2021-06-10 00:00:00,BTC/USDT,37369.99,38489,35750,36669.66,29775084408,6960056
1623200000000,2021-06-09 00:00:00,BTC/USDT,33372.58,37511.31,32390,37368.45,36050659489,8470399
1623110000000,2021-06-08 00:00:00,BTC/USDT,33550.97,34061.57,30969,33372.58,31912200461,8000201
1623020000000,2021-06-07 00:00:00,BTC/USDT,35801.71,36820,33200,33550.96,22666564580,5458401
1622940000000,2021-06-06 00:00:00,BTC/USDT,35497.93,36521.16,35201.86,35801.71,15937978041,3944742
1622850000000,2021-06-05 00:00:00,BTC/USDT,36828.03,37900.49,34800,35498.62,22946553087,5611429
1622760000000,2021-06-04 00:00:00,BTC/USDT,39247.4,39297.35,35552.51,36828.03,25922946607,6025185
1622680000000,2021-06-03 00:00:00,BTC/USDT,37570,39470,37150.15,39247.4,19590443295,4505482
1622590000000,2021-06-02 00:00:00,BTC/USDT,36694.37,38232.99,35905,37569.99,16479965808,4080217
1622510000000,2021-06-01 00:00:00,BTC/USDT,37244.36,37893.76,35500,36693.41,21609364827,5297320
1622420000000,2021-05-31 00:00:00,BTC/USDT,35651.8,37500,34150,37243.38,22929964892,5580461
1622330000000,2021-05-30 00:00:00,BTC/USDT,34611.95,36501,33356,35651.81,18116421636,4973296
1622250000000,2021-05-29 00:00:00,BTC/USDT,35670.99,37375,33650,34611.94,25787790807,7000689
1622160000000,2021-05-28 00:00:00,BTC/USDT,38527.38,38888.35,34689.57,35670.99,30299787312,7510187
1622070000000,2021-05-27 00:00:00,BTC/USDT,39224.21,40438.82,37133.22,38527.38,21083767719,5251225
1621990000000,2021-05-26 00:00:00,BTC/USDT,38326.84,40900,37804.76,39224.2,22649858074,5587876
1621900000000,2021-05-25 00:00:00,BTC/USDT,38783.58,39790.05,36439.32,38326.84,22712004629,6334066
1621810000000,2021-05-24 00:00:00,BTC/USDT,34656.53,39917.09,34366,38779.66,26315302277,7477510
1621730000000,2021-05-23 00:00:00,BTC/USDT,37436,38261.71,31096.7,34651.6,34118866979,11641510
1621640000000,2021-05-22 00:00:00,BTC/USDT,37210.01,38851.34,35201.11,37432.58,21993863635,6992444
1621560000000,2021-05-21 00:00:00,BTC/USDT,40500,42270.42,33400,37211.02,35509680104,10769140
1621470000000,2021-05-20 00:00:00,BTC/USDT,36689.14,42460,34882,40500.3,30672617975,9532573
1621380000000,2021-05-19 00:00:00,BTC/USDT,42882.54,43615.93,28688,36689.14,52959873010,14748747
1621300000000,2021-05-18 00:00:00,BTC/USDT,43565.11,45846.61,42268,42882.53,25938880317,5914414
1621210000000,2021-05-17 00:00:00,BTC/USDT,46429.28,46655,42151,43566.18,35658317192,8158638
1621120000000,2021-05-16 00:00:00,BTC/USDT,46794.62,49829.39,43866,46429.28,28364127432,6085883
1621040000000,2021-05-15 00:00:00,BTC/USDT,49873.26,50709.43,46584.32,46793.41,21481317003,4479965
1620950000000,2021-05-14 00:00:00,BTC/USDT,49706.27,51533,48870.41,49873.27,16003223042,3217006
1620860000000,2021-05-13 00:00:00,BTC/USDT,49596.75,51358,45596.32,49707.9,32261339755,7526904
1620780000000,2021-05-12 00:00:00,BTC/USDT,56712.7,58049.99,48503.74,49595.76,25827757900,4959229
1620690000000,2021-05-11 00:00:00,BTC/USDT,55869.41,56908.66,54541.33,56710.43,14894271373,2884389
1620600000000,2021-05-10 00:00:00,BTC/USDT,58292.53,59654,53250,55869.67,22695249845,4094344
1620520000000,2021-05-09 00:00:00,BTC/USDT,58926.36,59335.19,56316,58292.53,14240035981,2634641
1620430000000,2021-05-08 00:00:00,BTC/USDT,57350.89,59590.96,56961.25,58924.98,15519326694,2983532
1620350000000,2021-05-07 00:00:00,BTC/USDT,56435.35,58800,55300,57350.88,14595837164,2804212
1620260000000,2021-05-06 00:00:00,BTC/USDT,57497.76,58450,55297.91,56435.35,15686629190,2863753
